CLAYTON 1,76,359,"PEA RIDGE,CAMP POINT 1,NORTHEAST 1,HOUSTON 1,HUNTSVILLE,LEE,CONCORD 1,COLUMBUS 1"
NORTHEAST 1,72,350,"BIRMINGHAM,CHILI,AUGUSTA,CLAYTON 1,CAMP POINT 1,HOUSTON 1,HUNTSVILLE"
CAMP POINT 1,69,331,"CLAYTON 1,CAMP POINT 2,NORTHEAST 1,HOUSTON 1,COLUMBUS 1"
CAMP POINT 2,47,376,"HONEY CREEK 1,KEENE 1,CAMP POINT 1,HOUSTON 1,GILMER 1,COLUMBUS 1"
MENDON 2,73,320,MENDON 1
COLUMBUS 1,35,284,"HONEY CREEK 1,CLAYTON 1,CAMP POINT 1,CAMP POINT 2,GILMER 1,BURTON 1,MCKEE 1,LIBERTY 1,CONCORD 1"
PAYSON 1,109,412,"LEVEE 1,FALL CREEK 1,MELROSE 1,PAYSON 2,BURTON 1,KINDERHOOK 2"
MELROSE 5,82,312,"QUINCY 18,QUINCY 26,QUINCY 25,QUINCY 27,QUINCY 24,MELROSE 6,QUINCY 23,MELROSE 1,MELROSE 2,MELROSE 4"
MELROSE 6,123,384,"ELLINGTON 2,QUINCY 18,MELROSE 5,MELROSE 1,GILMER 1,BURTON 1"
HOUSTON 1,16,112,"ST ALBANS,HONEY CREEK 1,KEENE 1,CHILI,AUGUSTA,CLAYTON 1,CAMP POINT 1,CAMP POINT 2,NORTHEAST 1"
KEENE 1,57,250,"WALKER,ST ALBANS,HONEY CREEK 1,MENDON 1,LIMA 1,CHILI,CAMP POINT 2,HOUSTON 1"
HONEY CREEK 1,67,322,"MENDON 1,KEENE 1,CAMP POINT 2,HOUSTON 1,ELLINGTON 1,GILMER 1,COLUMBUS 1"
MENDON 1,38,293,"MENDON 2,HONEY CREEK 1,URSA 1,KEENE 1,LIMA 1,ELLINGTON 1,GILMER 1"
LIMA 1,44,221,"WALKER,ST ALBANS,ROCKY RUN,URSA 1,MENDON 1,KEENE 1"
LIBERTY 1,102,602,"PAYSON 2,GILMER 1,BURTON 1,BEVERLY 1,RICHFIELD 1,MCKEE 1,CONCORD 1,COLUMBUS 1"
URSA 1,89,463,"MENDON 1,LIMA 1,RIVERSIDE 1,RIVERSIDE 3,ELLINGTON 1"
CONCORD 1,19,83,"PEA RIDGE,CLAYTON 1,BUCKHORN,LEE,MCKEE 1,LIBERTY 1,COLUMBUS 1"
ELLINGTON 1,91,460,"HONEY CREEK 1,URSA 1,MENDON 1,RIVERSIDE 2,RIVERSIDE 1,ELLINGTON 3,ELLINGTON 2,QUINCY 9,GILMER 1"
ELLINGTON 2,118,450,"ELLINGTON 3,ELLINGTON 1,QUINCY 18,MELROSE 6,GILMER 1,BURTON 1"
ELLINGTON 3,96,353,"RIVERSIDE 2,ELLINGTON 2,ELLINGTON 1,QUINCY 9,QUINCY 12,QUINCY 15,QUINCY 18"
MCKEE 1,13,92,"FAIRMOUNT 1,BUCKHORN,BEVERLY 1,RICHFIELD 1,LIBERTY 1,CONCORD 1,COLUMBUS 1"
MELROSE 3,111,403,"QUINCY 37,QUINCY 27,QUINCY 36,FALL CREEK 1,MELROSE 1,MELROSE 2,QUINCY 31,MELROSE 4,QUINCY 35"
BEVERLY 1,18,150,"NEW SALEM 2,FAIRMOUNT 1,BUCKHORN,RICHFIELD 1,MCKEE 1,LIBERTY 1,HADLEY 1,BARRY 1"
GILMER 1,74,512,"HONEY CREEK 1,MENDON 1,CAMP POINT 2,ELLINGTON 2,ELLINGTON 1,MELROSE 6,BURTON 1,LIBERTY 1,COLUMBUS 1"
BURTON 1,60,455,"ELLINGTON 2,MELROSE 6,FALL CREEK 1,MELROSE 1,PAYSON 1,PAYSON 2,GILMER 1,RICHFIELD 1,LIBERTY 1,COLUMBUS 1"
RICHFIELD 1,24,190,"PAYSON 2,BURTON 1,BEVERLY 1,MCKEE 1,LIBERTY 1,KINDERHOOK 1,HADLEY 1,BARRY 1"
PAYSON 2,42,233,"PAYSON 1,BURTON 1,KINDERHOOK 2,RICHFIELD 1,LIBERTY 1,KINDERHOOK 1"
MELROSE 2,150,524,"MELROSE 5,MELROSE 1,MELROSE 3,MELROSE 4"
MELROSE 1,89,394,"MELROSE 5,MELROSE 6,FALL CREEK 1,MELROSE 3,MELROSE 2,PAYSON 1,BURTON 1"
MELROSE 4,76,319,"QUINCY 27,MELROSE 5,MELROSE 3,MELROSE 2,QUINCY 31"
RIVERSIDE 1,86,358,"URSA 1,RIVERSIDE 2,RIVERSIDE 3,ELLINGTON 1"
QUINCY 8,90,272,"QUINCY 10,QUINCY 4,QUINCY 1,RIVERSIDE 2,RIVERSIDE 3,QUINCY 2,QUINCY 9"
QUINCY 14,148,179,"QUINCY 10,QUINCY 4,QUINCY 11,QUINCY 17,QUINCY 13,QUINCY 16,QUINCY 5"
QUINCY 16,165,362,"QUINCY 11,QUINCY 17,QUINCY 13,QUINCY 20,QUINCY 14,QUINCY 21,QUINCY 22"
FALL CREEK 1,49,242,"LEVEE 1,MELROSE 1,MELROSE 3,PAYSON 1,BURTON 1,KINDERHOOK 2"
RIVERSIDE 2,73,306,"QUINCY 8,QUINCY 1,RIVERSIDE 1,RIVERSIDE 3,ELLINGTON 3,ELLINGTON 1,QUINCY 11,QUINCY 9,QUINCY 12"
QUINCY 4,160,321,"QUINCY 10,QUINCY 8,QUINCY 2,QUINCY 3,QUINCY 9,QUINCY 5,QUINCY 14"
QUINCY 7,92,67,"QUINCY 19,QUINCY 13,QUINCY 5,QUINCY 40,QUINCY 6"
QUINCY 10,72,164,"QUINCY 4,QUINCY 8,QUINCY 11,QUINCY 9,QUINCY 5,QUINCY 14"
QUINCY 13,103,236,"QUINCY 19,QUINCY 20,QUINCY 7,QUINCY 16,QUINCY 5,QUINCY 14,QUINCY 40"
RIVERSIDE 3,87,452,"URSA 1,QUINCY 8,QUINCY 1,RIVERSIDE 2,RIVERSIDE 1,QUINCY 2,QUINCY 3,QUINCY 6"
QUINCY 1,137,302,"QUINCY 8,RIVERSIDE 2,RIVERSIDE 3,QUINCY 2"
QUINCY 2,134,262,"QUINCY 4,QUINCY 8,QUINCY 1,RIVERSIDE 3,QUINCY 3"
QUINCY 6,57,82,"RIVERSIDE 3,QUINCY 3,QUINCY 7,QUINCY 5,QUINCY 40"
QUINCY 3,134,205,"QUINCY 4,RIVERSIDE 3,QUINCY 2,QUINCY 5,QUINCY 6"
QUINCY 5,139,159,"QUINCY 10,QUINCY 4,QUINCY 3,QUINCY 13,QUINCY 7,QUINCY 14,QUINCY 6"
QUINCY 11,116,281,"QUINCY 10,RIVERSIDE 2,QUINCY 9,QUINCY 12,QUINCY 17,QUINCY 16,QUINCY 14"
QUINCY 9,148,365,"QUINCY 10,QUINCY 4,QUINCY 8,RIVERSIDE 2,ELLINGTON 3,ELLINGTON 1,QUINCY 11"
QUINCY 12,124,268,"RIVERSIDE 2,ELLINGTON 3,QUINCY 11,QUINCY 15,QUINCY 17"
QUINCY 15,159,387,"ELLINGTON 3,QUINCY 12,QUINCY 18,QUINCY 17"
QUINCY 18,147,429,"ELLINGTON 3,ELLINGTON 2,QUINCY 15,QUINCY 17,MELROSE 5,MELROSE 6,QUINCY 23"
QUINCY 19,55,101,"QUINCY 13,QUINCY 20,QUINCY 7,QUINCY 39,QUINCY 40,QUINCY 34"
QUINCY 20,169,328,"QUINCY 19,QUINCY 13,QUINCY 16,QUINCY 39,QUINCY 21,QUINCY 33,QUINCY 34"
QUINCY 21,176,364,"QUINCY 20,QUINCY 16,QUINCY 29,QUINCY 33,QUINCY 22"
QUINCY 22,169,305,"QUINCY 17,QUINCY 16,QUINCY 29,QUINCY 21,QUINCY 26,QUINCY 25,QUINCY 23"
QUINCY 23,133,261,"QUINCY 18,QUINCY 17,QUINCY 25,MELROSE 5,QUINCY 24,QUINCY 22"
QUINCY 24,126,519,"MELROSE 5,QUINCY 23"
QUINCY 25,215,470,"QUINCY 26,MELROSE 5,QUINCY 23,QUINCY 22"
QUINCY 26,128,355,"QUINCY 29,QUINCY 25,QUINCY 27,QUINCY 28,MELROSE 5,QUINCY 22"
QUINCY 27,156,440,"QUINCY 26,QUINCY 30,QUINCY 28,MELROSE 5,MELROSE 3,QUINCY 31,MELROSE 4"
QUINCY 28,169,374,"QUINCY 29,QUINCY 26,QUINCY 27,QUINCY 30"
QUINCY 30,128,245,"QUINCY 29,QUINCY 27,QUINCY 28,QUINCY 31"
QUINCY 31,149,426,"QUINCY 29,QUINCY 32,QUINCY 27,QUINCY 30,MELROSE 3,MELROSE 4,QUINCY 35"
QUINCY 32,132,367,"QUINCY 29,QUINCY 33,QUINCY 34,QUINCY 31,QUINCY 35"
QUINCY 33,108,359,"QUINCY 20,QUINCY 29,QUINCY 21,QUINCY 32,QUINCY 34"
QUINCY 34,98,222,"QUINCY 19,QUINCY 20,QUINCY 39,QUINCY 33,QUINCY 32,QUINCY 38,QUINCY 35"
QUINCY 36,89,117,"QUINCY 38,QUINCY 37,MELROSE 3,QUINCY 35"
QUINCY 37,160,202,"QUINCY 39,QUINCY 38,QUINCY 36,MELROSE 3,QUINCY 35"
QUINCY 17,144,310,"QUINCY 11,QUINCY 12,QUINCY 15,QUINCY 18,QUINCY 16,QUINCY 14,QUINCY 23,QUINCY 22"
QUINCY 29,155,375,"QUINCY 21,QUINCY 26,QUINCY 33,QUINCY 32,QUINCY 30,QUINCY 28,QUINCY 22,QUINCY 31"
QUINCY 35,109,315,"QUINCY 32,QUINCY 34,QUINCY 38,QUINCY 37,QUINCY 36,MELROSE 3,QUINCY 31"
QUINCY 38,122,247,"QUINCY 39,QUINCY 34,QUINCY 37,QUINCY 36,QUINCY 35"
QUINCY 39,141,191,"QUINCY 19,QUINCY 20,QUINCY 40,QUINCY 34,QUINCY 38,QUINCY 37"
QUINCY 40,145,189,"QUINCY 19,QUINCY 13,QUINCY 7,QUINCY 39,QUINCY 6"
CAIRO 1,162,26,"CAIRO 2,CAIRO 3"
CAIRO 2,176,11,"CAIRO 1,CAIRO 4,CAIRO 3"
CAIRO 3,96,9,"CAIRO 2,CAIRO 1,CAIRO 4,CAIRO 5,CACHE"
CAIRO 4,168,105,"CAIRO 2,CAIRO 3,CAIRO 5"
CAIRO 5,133,53,"CAIRO 4,CAIRO 3,CACHE"
TAMMS,140,377,"UNION 1,MILL CREEK,PULASKI,ULLIN,PERKS-WETAUG,SANDUSKY,THEBES,MC CLURE"
CACHE,59,50,"CAIRO 3,CAIRO 5,MOUND CITY 2,MOUNDS 1,MOUNDS 2,OLIVE BRANCH,SANDUSKY"
SANDUSKY,87,38,"VILLA RIDGE - AMERICA,PULASKI,MOUNDS 2,CACHE,OLIVE BRANCH,THEBES,TAMMS,MC CLURE"
MC CLURE,111,263,"UNION 1,SANDUSKY,THEBES,TAMMS"
THEBES,69,262,"OLIVE BRANCH,SANDUSKY,TAMMS,MC CLURE"
OLIVE BRANCH,61,302,"CACHE,SANDUSKY,THEBES"
BURGESS 1,124,261,"BURGESS 3,BURGESS 2,MILLS,OLD RIPLEY,CENTRAL 5"
BURGESS 2,84,197,"BURGESS 3,BURGESS 1,ST ROSE 2,WHEATFIELD,MILLS"
BURGESS 3,87,232,"HELVETIA 01,SALINE 04,SALINE 03,BURGESS 1,BURGESS 2,ST ROSE 2,LEEF 01,OLD RIPLEY,SALINE 02"
CENTRAL 1A,127,255,"PLEASANT MOUND 1,CENTRAL 1,CENTRAL 2"
CENTRAL 1,158,332,"MULBERRY GROVE 2,PLEASANT MOUND 1,CENTRAL 6,LAGRANGE 1,LAGRANGE 2,CENTRAL 1A,CENTRAL 2"
CENTRAL 7,95,229,"CENTRAL 6,CENTRAL 4,OLD RIPLEY,CENTRAL 5"
CENTRAL 2,78,134,"PLEASANT MOUND 1,CENTRAL 6,CENTRAL 1,CENTRAL 1A,CENTRAL 3"
CENTRAL 4,99,131,"PLEASANT MOUND 1,CENTRAL 7,CENTRAL 6,CENTRAL 3,CENTRAL 5"
CENTRAL 5,95,236,"PLEASANT MOUND 1,CENTRAL 7,CENTRAL 4,BURGESS 1,MILLS,OLD RIPLEY,TAMALCO 1"
CENTRAL 3,83,134,"PLEASANT MOUND 1,CENTRAL 6,CENTRAL 4,CENTRAL 2"
CENTRAL 6,83,236,"CENTRAL 7,CENTRAL 4,LAGRANGE 1,CENTRAL 1,CENTRAL 2,CENTRAL 3,SHOAL CREEK 1,OLD RIPLEY"
LAGRANGE 1,45,161,"CENTRAL 6,LAGRANGE 2,EAST FORK 2,EAST FORK 1,CENTRAL 1,SHOAL CREEK 1,OLD RIPLEY,SHOAL CREEK 2,GRISHAM 2"
LAGRANGE 2,109,306,"MULBERRY GROVE 2,PLEASANT MOUND 1,SOUTH FILLMORE,LAGRANGE 1,EAST FORK 1,CENTRAL 1"
MILLS,75,232,"PLEASANT MOUND 1,BURGESS 1,BURGESS 2,ST ROSE 2,WHEATFIELD,OLD RIPLEY,CENTRAL 5,IRISHTOWN 1,TAMALCO 2,TAMALCO 1"
