COUNTYFP,NAME,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREGSTE,G16PREOWRI,G16USSDDUC,G16USSRKIR,G16USSLMCM,G16USSGSUM,G16USSOWRI,G16COMDMEN,G16COMRMUN,G16COMLBAL,G16COMGCUR,NEIGHBORS,NEIGHBOR
"031",MAINE 2,"400","194","8","14","3","381","178","21","9","0","342","187","28","15","MAINE 5,MAINE 78,MAINE 69,NORTHFIELD 1,NORTHFIELD 4,NORTHFIELD 38","MAINE 5 31,MAINE 78 31,MAINE 69 31,NORTHFIELD 1 31,NORTHFIELD 4 31,NORTHFIELD 38 31"
"031",MAINE 5,"647","295","15","7","10","590","307","22","18","1","555","309","16","32","MAINE 78,MAINE 23,MAINE 2,NORTHFIELD 1,NORTHFIELD 4,MAINE 45,MAINE 28,MAINE 92,MAINE 57","MAINE 78 31,MAINE 23 31,MAINE 2 31,NORTHFIELD 1 31,NORTHFIELD 4 31,MAINE 45 31,MAINE 28 31,MAINE 92 31,MAINE 57 31"
"031",MAINE 31,"399","259","19","9","3","359","286","18","9","2","312","308","12","20","MAINE 69,NORTHFIELD 38,MAINE 40,MAINE 74,MAINE 76,NORTHFIELD 21,MAINE 84","MAINE 69 31,NORTHFIELD 38 31,MAINE 40 31,MAINE 74 31,MAINE 76 31,NORTHFIELD 21 31,MAINE 84 31"
"031",MAINE 23,"409","253","21","17","6","374","263","18","26","0","345","276","26","23","MAINE 86,MAINE 5,NORTHFIELD 1,MAINE 92","MAINE 86 31,MAINE 5 31,NORTHFIELD 1 31,MAINE 92 31"
"031",MAINE 44,"256","156","25","5","8","214","214","10","11","0","178","235","14","12","MAINE 52,MAINE 74,MAINE 76,NILES 11,NORTHFIELD 21,NORTHFIELD 24","MAINE 52 31,MAINE 74 31,MAINE 76 31,NILES 11 31,NORTHFIELD 21 31,NORTHFIELD 24 31"
"031",MAINE 69,"406","293","18","12","4","369","305","18","11","1","327","330","15","11","MAINE 78,MAINE 2,NORTHFIELD 4,NORTHFIELD 38,MAINE 31,MAINE 81,MAINE 84","MAINE 78 31,MAINE 2 31,NORTHFIELD 4 31,NORTHFIELD 38 31,MAINE 31 31,MAINE 81 31,MAINE 84 31"
"031",MAINE 74,"336","183","16","6","5","280","235","15","7","0","245","245","16","16","MAINE 44,MAINE 31,MAINE 76,NORTHFIELD 21","MAINE 44 31,MAINE 31 31,MAINE 76 31,NORTHFIELD 21 31"
"031",MAINE 86,"421","145","17","6","0","397","152","13","6","0","355","159","18","17","WHEELING 11,NORTHFIELD 39,NORTHFIELD 33,MAINE 13,MAINE 34,MAINE 3,MAINE 6,MAINE 35,MAINE 9,MAINE 4,MAINE 64,MAINE 23,NORTHFIELD 1,MAINE 70,MAINE 92","WHEELING 11 31,NORTHFIELD 39 31,NORTHFIELD 33 31,MAINE 13 31,MAINE 34 31,MAINE 3 31,MAINE 6 31,MAINE 35 31,MAINE 9 31,MAINE 4 31,MAINE 64 31,MAINE 23 31,NORTHFIELD 1 31,MAINE 70 31,MAINE 92 31"
"031",NEW TRIER 4,"740","161","44","10","29","544","426","5","9","0","463","444","13","22","NEW TRIER 7,NEW TRIER 5,NEW TRIER 1,NEW TRIER 2,NEW TRIER 6,NORTHFIELD 28,NORTHFIELD 8","NEW TRIER 7 31,NEW TRIER 5 31,NEW TRIER 1 31,NEW TRIER 2 31,NEW TRIER 6 31,NORTHFIELD 28 31,NORTHFIELD 8 31"
"031",NEW TRIER 15,"649","292","57","13","23","464","540","25","12","2","374","592","21","23","NEW TRIER 29,NEW TRIER 26,NEW TRIER 28,NEW TRIER 20,NEW TRIER 19,NEW TRIER 39,NEW TRIER 24,NORTHFIELD 6,NORTHFIELD 35","NEW TRIER 29 31,NEW TRIER 26 31,NEW TRIER 28 31,NEW TRIER 20 31,NEW TRIER 19 31,NEW TRIER 39 31,NEW TRIER 24 31,NORTHFIELD 6 31,NORTHFIELD 35 31"
"031",NEW TRIER 1,"836","198","51","7","30","591","514","15","3","0","527","525","12","15","Moraine 223,Moraine 224,NEW TRIER 7,NEW TRIER 5,NEW TRIER 4,NEW TRIER 2,Voting Districts Not Defined,Voting District Not Defined","Moraine 223 97,Moraine 224 97,NEW TRIER 7 31,NEW TRIER 5 31,NEW TRIER 4 31,NEW TRIER 2 31,Voting Districts Not Defined 31,Voting District Not Defined 97"
