MAINE 2,400,194,"MAINE 5,MAINE 69,NORTHFIELD 1,NORTHFIELD 4,NORTHFIELD 38"
MAINE 5,647,295,"MAINE 23,MAINE 2,NORTHFIELD 1,NORTHFIELD 4"
MAINE 31,399,259,"MAINE 69,NORTHFIELD 38,MAINE 74,NORTHFIELD 21"
MAINE 23,409,253,"MAINE 86,MAINE 5,NORTHFIELD 1"
MAINE 44,256,156,"MAINE 74,NILES 11,NORTHFIELD 21,NORTHFIELD 24"
MAINE 69,406,293,"MAINE 2,NORTHFIELD 4,NORTHFIELD 38,MAINE 31"
MAINE 74,336,183,"MAINE 44,MAINE 31,NORTHFIELD 21"
MAINE 86,421,145,"WHEELING 11,NORTHFIELD 39,NORTHFIELD 33,MAINE 23,NORTHFIELD 1"
NEW TRIER 4,740,161,"NEW TRIER 1,NEW TRIER 2,NEW TRIER 6,NORTHFIELD 28,NORTHFIELD 8"
NEW TRIER 15,649,292,"NEW TRIER 20,NEW TRIER 39,NORTHFIELD 6,NORTHFIELD 35"
NEW TRIER 1,836,198,"Moraine 223,Moraine 224,NEW TRIER 4,NEW TRIER 2"
NEW TRIER 20,632,330,"NEW TRIER 11,NEW TRIER 15,NORTHFIELD 35,NORTHFIELD 37,NORTHFIELD 8,NORTHFIELD 9"
NEW TRIER 2,909,211,"Moraine 223,Moraine 224,NEW TRIER 4,NEW TRIER 1,NORTHFIELD 28,NORTHFIELD 55"
NEW TRIER 6,432,100,"NEW TRIER 11,NEW TRIER 4,NORTHFIELD 8"
NEW TRIER 11,550,291,"NEW TRIER 20,NEW TRIER 6,NORTHFIELD 8"
NEW TRIER 13,653,294,"NEW TRIER 39,NORTHFIELD 6,NILES 3"
NEW TRIER 39,376,143,"NEW TRIER 15,NEW TRIER 13,NORTHFIELD 6,NORTHFIELD 35"
NILES 3,619,391,"NILES 11,NEW TRIER 13,NORTHFIELD 19,NORTHFIELD 6"
NILES 11,236,122,"MAINE 44,NORTHFIELD 19,NORTHFIELD 24,NILES 3"
NORTHFIELD 13,388,238,"NORTHFIELD 41,NORTHFIELD 43,NORTHFIELD 48,NORTHFIELD 59,NORTHFIELD 61,NORTHFIELD 57"
NORTHFIELD 22,559,204,"NORTHFIELD 3,NORTHFIELD 47,NORTHFIELD 16,NORTHFIELD 32"
NORTHFIELD 25,409,222,"NORTHFIELD 10,NORTHFIELD 48,NORTHFIELD 57,NORTHFIELD 5,NORTHFIELD 4,NORTHFIELD 38"
NORTHFIELD 35,422,291,"NEW TRIER 20,NEW TRIER 15,NEW TRIER 39,NORTHFIELD 6,NORTHFIELD 12,NORTHFIELD 37,NORTHFIELD 23,NORTHFIELD 31"
NORTHFIELD 37,477,322,"NEW TRIER 20,NORTHFIELD 35,NORTHFIELD 9,NORTHFIELD 23"
NORTHFIELD 46,607,282,"NORTHFIELD 29,NORTHFIELD 14,NORTHFIELD 18,NORTHFIELD 2,NORTHFIELD 45,NORTHFIELD 20,NORTHFIELD 8"
NORTHFIELD 49,427,139,"NORTHFIELD 16,NORTHFIELD 17,NORTHFIELD 32,NORTHFIELD 18,NORTHFIELD 11,NORTHFIELD 36,NORTHFIELD 34"
NORTHFIELD 56,522,360,"NORTHFIELD 42,NORTHFIELD 23,NORTHFIELD 31,NORTHFIELD 52"
NORTHFIELD 60,612,191,"NORTHFIELD 17,NORTHFIELD 36,NORTHFIELD 50"
NORTHFIELD 61,307,229,"NORTHFIELD 50,NORTHFIELD 43,NORTHFIELD 27,NORTHFIELD 59,NORTHFIELD 13"
NORTHFIELD 62,500,247,"NORTHFIELD 3,NORTHFIELD 32,NORTHFIELD 29,NORTHFIELD 58,NORTHFIELD 2"
NORTHFIELD 15,377,149,"NORTHFIELD 58,NORTHFIELD 26,NORTHFIELD 40,NORTHFIELD 45,NORTHFIELD 28"
