NAME,G16PREDCLI,G16PRERTRU,NEIGHBOR
CLAYTON 1 1,76,359,"PEA RIDGE 9,CAMP POINT 1 1,NORTHEAST 1 1,HOUSTON 1 1,HUNTSVILLE 169,LEE 9,CONCORD 1 1,COLUMBUS 1 1"
NORTHEAST 1 1,72,350,"BIRMINGHAM 169,CHILI 67,AUGUSTA 67,CLAYTON 1 1,CAMP POINT 1 1,HOUSTON 1 1,HUNTSVILLE 169"
CAMP POINT 1 1,69,331,"CLAYTON 1 1,CAMP POINT 2 1,NORTHEAST 1 1,HOUSTON 1 1,COLUMBUS 1 1"
CAMP POINT 2 1,47,376,"HONEY CREEK 1 1,KEENE 1 1,CAMP POINT 1 1,HOUSTON 1 1,GILMER 1 1,COLUMBUS 1 1"
MENDON 2 1,73,320,MENDON 1 1
COLUMBUS 1 1,35,284,"HONEY CREEK 1 1,CLAYTON 1 1,CAMP POINT 1 1,CAMP POINT 2 1,GILMER 1 1,BURTON 1 1,MCKEE 1 1,LIBERTY 1 1,CONCORD 1 1"
PAYSON 1 1,109,412,"LEVEE 1 149,FALL CREEK 1 1,MELROSE 1 1,PAYSON 2 1,BURTON 1 1,KINDERHOOK 2 149"
MELROSE 5 1,82,312,"QUINCY 18 1,QUINCY 26 1,QUINCY 25 1,QUINCY 27 1,QUINCY 24 1,MELROSE 6 1,QUINCY 23 1,MELROSE 1 1,MELROSE 2 1,MELROSE 4 1"
MELROSE 6 1,123,384,"ELLINGTON 2 1,QUINCY 18 1,MELROSE 5 1,MELROSE 1 1,GILMER 1 1,BURTON 1 1"
HOUSTON 1 1,16,112,"ST ALBANS 67,HONEY CREEK 1 1,KEENE 1 1,CHILI 67,AUGUSTA 67,CLAYTON 1 1,CAMP POINT 1 1,CAMP POINT 2 1,NORTHEAST 1 1"
KEENE 1 1,57,250,"WALKER 67,ST ALBANS 67,HONEY CREEK 1 1,MENDON 1 1,LIMA 1 1,CHILI 67,CAMP POINT 2 1,HOUSTON 1 1"
HONEY CREEK 1 1,67,322,"MENDON 1 1,KEENE 1 1,CAMP POINT 2 1,HOUSTON 1 1,ELLINGTON 1 1,GILMER 1 1,COLUMBUS 1 1"
